Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.064355,5.0607E-05,0.0033088,0,0,0,1.6946,0.0064783,-4.1906E-07,-1.5099E-05,0.0091096,-4.5666E-07,0.015037,0,0,0,0,0,0,package://selfModel/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://selfModel/meshes/base_link.STL,,复件 Base^selfModel-1;复件 底板^selfModel-1;复件 控制器^selfModel-1,base_sys,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0056565,0.0056156,0.018537,0,0,0,0.052137,1.9368E-05,-7.1474E-06,-5.1109E-06,2.2604E-05,-3.282E-06,3.1983E-05,0,0,0,0,0,0,package://selfModel/meshes/link1.STL,0.81176,0.1451,0.1451,1,0,0,0,0,0,0,package://selfModel/meshes/link1.STL,,复件 零部件41(2)^selfModel-1,joint1_sys,joint1_axis,joint1,continuous,0,0,0.074,0,0,0,base_link,0,0,-1,20,0.377,,,,,0.1,0.1,,,,
link2,0.071107,-0.0020617,-0.015723,0,0,0,0.31887,0.00010406,-1.2153E-06,3.8331E-05,0.00053452,1.4253E-06,0.00053492,0,0,0,0,0,0,package://selfModel/meshes/link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://selfModel/meshes/link2.STL,,复件 Nema17 Slim Stepper Motor v1(2)^selfModel-1;复件 2GT-T20-3mm v1 (1)^selfModel-1;复件 2GT-T20-3mm v1(2)^selfModel-1;复件 金属件 (3)^selfModel-1;复件 3D打印件 (2)^selfModel-1;复件 3D打印件 (3)^selfModel-1;复件 CSF-8-30-1U v2(2)^selfModel-1;复件 Nema17 Stepper Motor v1(2)^selfModel-1;复件 CSF-8-30-1U v2 (1)^selfModel-1,joint2_sys,joint2_axis,joint2,revolute,0.035,-0.02,0.035,1.5708,-1.5708,0,link1,0,0,1,20,0.377,-1.274,1.274,,,0.1,0.1,,,,
link3,0.044755,0.022755,-0.015346,0,0,0,0.065199,1.4837E-05,-3.4323E-06,5.2064E-06,2.5913E-05,2.0349E-06,2.0069E-05,0,0,0,0,0,0,package://selfModel/meshes/link3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://selfModel/meshes/link3.STL,,复件 2GT-16T-3mm v1(2)^selfModel-1;复件 2GT-16T-3mm v1 (1)^selfModel-1;复件 3D打印件 (1)^selfModel-1;复件 金属件 (2)^selfModel-1;复件 CSF-5-30-1U v2 (1)^selfModel-1;复件 (2) PK513PA-H50S v2 (1)^selfModel-1,joint3_sys,joint3_axis,joint3,revolute,0.146,0,0.00015,0,0,0,link2,0,0,-1,12,0.628,-1.047,1.047,,,0.1,0.1,,,,
link4,-5.0854E-05,-0.0082224,0.073171,0,0,0,0.064741,4.1762E-05,6.8663E-08,2.8681E-07,4.3462E-05,-2.1488E-06,6.3712E-06,0,0,0,0,0,0,package://selfModel/meshes/link4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://selfModel/meshes/link4.STL,,复件 复件 2GT-16T-3mm v1 (2)^selfModel-1;复件 2GT-16T-3mm v1 (3)^selfModel-1;复件 3D打印件(2)^selfModel-1;复件 CSF-5-30-1U v2(2)^selfModel-1;复件 PK513PA-H50S v2 (1)^selfModel-1;复件 Dummy组装^selfModel-1;复件 金属件 (1)^selfModel-1,joint4_sys,joint4_axis,joint4,continuous,0.052,0.012,-0.02015,1.5708,0,0,link3,0,0,-1,12,0.628,,,,,0.1,0.1,,,,
link5,0.040089,0.00018784,-0.0023494,0,0,0,0.028392,1.6899E-06,1.7979E-09,1.4814E-07,6.917E-06,-2.4077E-10,7.2342E-06,0,0,0,0,0,0,package://selfModel/meshes/link5.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://selfModel/meshes/link5.STL,,复件 3D打印盖(2)^selfModel-1;复件 金属件(2)^selfModel-1;复件 PK513PA-H50S v1(2)^selfModel-1;复件 Dummy组装-10^selfModel-1;复件 P3 (3) (1) (1)^selfModel-1,joint5_sys,joint5_axis,joint5,revolute,0,0.0068,0.127,1.5708,-1.5708,0,link4,0,0,-1,12,0.628,-2.094,2.094,,,0.1,0.1,,,,
link6,0.0062045,0.0066121,0.016503,0,0,0,0.0053983,1.9419E-06,2.2146E-07,2.1475E-07,1.9701E-06,2.2885E-07,1.956E-06,0,0,0,0,0,0,package://selfModel/meshes/link6.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://selfModel/meshes/link6.STL,,endSystem-1,joint6_sys,joint6_axis,joint6,continuous,0.072,0,-0.0068,1.5708,0,1.5708,link5,0,0,-1,20,0.377,,,,,0.1,0.1,,,,
