Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00261939095793032,8.05598235953691E-07,0.0408606707237568,0,0,0,0.462567248284449,0.000631412409093947,3.87578588377488E-11,2.47671577126192E-06,0.000553460390056141,-9.66892035394983E-10,0.000690292260338216,0,0,0,0,0,0,package://newrobot/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://newrobot/meshes/base_link.STL,,Base.step-1,base_sys,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0056565029784485,0.00561558713076425,0.0190368428015739,0,0,0,0.0521371956044282,1.93676847010315E-05,-7.14737321498401E-06,-5.11088397003481E-06,2.26036907617628E-05,-3.2819850575291E-06,3.19827133625892E-05,0,0,0,0,0,0,package://newrobot/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://newrobot/meshes/link1.STL,,Joint1.step-1,sys1,axis1,joint1,continuous,0,0,0.0735,0,0,0,base_link,0,0,-1,50,3.14,,,,,0.1,0.1,,,,
link2,0.00206174782362262,0.0711069722145173,-0.0157233785349188,0,0,0,0.318866195314794,0.000534524375753353,1.21533345653749E-06,-1.4253079872442E-06,0.00010406346155846,3.83306753651922E-05,0.000534917411917907,0,0,0,0,0,0,package://newrobot/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://newrobot/meshes/link2.STL,,Joint2 & Joint3.step-1,sys2,axis2,joint2,revolute,0.035,-0.02,0.0355,1.5708,0,0,link1,0,0,-1,50,3.14,-1.047,1.047,,,0.1,0.1,,,,
link3,0.044754941106177,0.0227550231504386,-0.0153462357219425,0,0,0,0.0651989298221985,1.48369365540213E-05,-3.4322889070454E-06,5.20639995254676E-06,2.59127251079158E-05,2.0349264318829E-06,2.0069188128937E-05,0,0,0,0,0,0,package://newrobot/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://newrobot/meshes/link3.STL,,Joint4.step-1,sys3,axis3,joint3,revolute,0,0.146,0.00015,0,0,1.5708,link2,0,0,-1,50,3.14,-1.047,1.047,,,0.1,0.1,,,,
link4,0.0002309228879947,-0.0082886012125518,0.0740096634382911,0,0,0,0.0632881256112504,4.17196450828295E-05,3.3500120128033E-08,2.90801167092427E-07,4.32987166338459E-05,-2.14997732003966E-06,6.1940654051469E-06,0,0,0,0,0,0,package://newrobot/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://newrobot/meshes/link4.STL,,Joint5.step-1,sys4,axis4,joint4,continuous,0.052,0.012,-0.02015,1.5708,0,0,link3,0,0,-1,50,3.14,,,,,0.1,0.1,,,,
link5,0.0399750246512569,2.02018813580396E-05,-0.00228749468803351,0,0,0,0.0280030535897929,1.68485188743037E-06,1.52011281167684E-09,1.48138109731109E-07,6.90773715268084E-06,-2.40768628082935E-10,7.22850860230252E-06,0,0,0,0,0,0,package://newrobot/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://newrobot/meshes/link5.STL,,Joint6.step-1,sys5,axis5,joint5,revolute,0,0.0068,0.127,1.5708,-1.5708,0,link4,0,0,1,50,3.14,-2.094,2.094,,,0.1,0.1,,,,
