Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.064355,5.0607E-05,0.0033088,0,0,0,1.6946,0.0064783,-4.1906E-07,-1.5099E-05,0.0091096,-4.5666E-07,0.015037,0,0,0,0,0,0,package://myModel/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://myModel/meshes/base_link.STL,,Dummy v164.step-1/底板.step-1;Dummy v164.step-1/Base.step-1;Dummy v164.step-1/控制器.step-1,base_sys,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0056565,0.0056156,0.018537,0,0,0,0.052137,1.9368E-05,-7.1474E-06,-5.1109E-06,2.2604E-05,-3.282E-06,3.1983E-05,0,0,0,0,0,0,package://myModel/meshes/link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://myModel/meshes/link1.STL,,Dummy v164.step-1/Joint1.step-1,joint1_sys,joint1_axis,joint1,continuous,0,0,0.074,0,0,0,base_link,0,0,-1,0,0.38,-3.14,3.14,,,0.1,0.1,,,,
link2,0.071107,-0.0020617,-0.015723,0,0,0,0.31887,0.00010406,-1.2153E-06,3.8331E-05,0.00053452,1.4253E-06,0.00053492,0,0,0,0,0,0,package://myModel/meshes/link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://myModel/meshes/link2.STL,,Dummy v164.step-1/Joint2 & Joint3.step-1,joint2_sys,joint2_axis,joint2,revolute,0.035,-0.02,0.035,1.5708,-1.5708,0,link1,0,0,1,20,0.377,-1.274,1.571,,,0.1,0.1,,,,
link3,0.044755,0.022755,-0.015346,0,0,0,0.065199,1.4837E-05,-3.4323E-06,5.2064E-06,2.5913E-05,2.0349E-06,2.0069E-05,0,0,0,0,0,0,package://myModel/meshes/link3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://myModel/meshes/link3.STL,,Dummy v164.step-1/Joint4.step-1,joint3_sys,joint3_axis,joint3,revolute,0.146,0,0.00015,0,0,0,link2,0,0,-1,12,0.628,-1.047,1.047,,,0.1,0.1,,,,
link4,0.00023092,-0.0082886,0.07401,0,0,0,0.063288,4.172E-05,3.35E-08,2.908E-07,4.3299E-05,-2.15E-06,6.1941E-06,0,0,0,0,0,0,package://myModel/meshes/link4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://myModel/meshes/link4.STL,,Dummy v164.step-1/Joint5.step-1,joint4_sys,joint4_axis,joint4,continuous,0.052,0.012,-0.02015,1.5708,0,0,link3,0,0,-1,12,0.628,,,,,0.1,0.1,,,,
link5,0.039975,2.0202E-05,-0.0022875,0,0,0,0.028003,1.6849E-06,1.5201E-09,1.4814E-07,6.9077E-06,-2.4077E-10,7.2285E-06,0,0,0,0,0,0,package://myModel/meshes/link5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://myModel/meshes/link5.STL,,Dummy v164.step-1/Joint6.step-1,joint5_sys,joint5_axis,joint5,revolute,0,0.0068,0.127,1.5708,-1.5708,0,link4,0,0,1,12,0.628,-2.094,2.094,,,0.1,0.1,,,,
link6,0.0064115,0.006424,0.011412,0,0,0,0.0053983,1.956E-06,2.2191E-07,2.2191E-07,1.956E-06,2.2191E-07,1.956E-06,0,0,0,0,0,0,package://myModel/meshes/link6.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://myModel/meshes/link6.STL,,endSystem-1,joint6_sys,joint6_axis,joint6,continuous,0.082,-1.2435E-05,-0.0068,0,1.5708,0,link5,0,0,-1,20,0.377,,,,,0.1,0.1,,,,
